time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-23T23:24:11.775Z,41.9026,-119.6033,7.3,1.9,ml,6,121.96,0.15,0.1273,nn,nn00575254,2017-01-23T23:41:51.781Z,"69km ESE of Lakeview, Oregon",earthquake,,6.7,0.36,4,reviewed,nn,nn
2017-01-23T23:16:11.470Z,51.6622,-177.8795,4.76,4.5,mb,,189,0.49,0.63,us,us10007v34,2017-01-23T23:52:36.040Z,"30km SE of Tanaga Volcano, Alaska",earthquake,8.9,7.1,0.07,59,reviewed,us,us
2017-01-23T23:10:40.650Z,36.4388333,-89.5306667,7.99,2.27,md,31,46,0.05532,0.1,nm,nm60172816,2017-01-23T23:50:42.310Z,"8km NW of Tiptonville, Tennessee",earthquake,0.22,0.44,0.111,23,reviewed,nm,nm
2017-01-23T23:01:00.770Z,33.2625,-116.4295,1.79,1.27,ml,26,95,0.0118,0.12,ci,ci37572775,2017-01-24T00:14:02.606Z,"5km W of Borrego Springs, CA",earthquake,0.21,0.16,0.117,24,reviewed,ci,ci
2017-01-23T23:00:15.740Z,38.8144989,-122.8201675,3.77,0.52,md,8,102,0.009009,0.02,nc,nc72755580,2017-01-23T23:38:01.650Z,"6km NW of The Geysers, California",earthquake,1.69,0.81,0.04,3,automatic,nc,nc
2017-01-23T22:52:49.980Z,38.8151665,-122.7596664,1.26,0.62,md,7,115,0.01653,0.01,nc,nc72755575,2017-01-23T23:14:01.609Z,"3km WSW of Cobb, California",earthquake,0.45,0.94,0.25,3,automatic,nc,nc
2017-01-23T22:50:05.632Z,38.3759,-118.8923,11.3,1,ml,8,112.38,0.329,0.1367,nn,nn00575258,2017-01-23T23:35:38.334Z,"28km SW of Hawthorne, Nevada",earthquake,,6.5,0,2,reviewed,nn,nn
2017-01-23T22:45:17.940Z,19.3374996,-155.216507,3.1,2.17,ml,53,67,0.03611,0.22,hv,hv61575761,2017-01-23T22:51:02.520Z,"10km SSE of Volcano, Hawaii",earthquake,0.3,0.45,0.21,13,automatic,hv,hv
2017-01-23T22:40:59.200Z,18.9167,-65.2957,28,2.9,Md,4,298.8,0.60636282,0.23,pr,pr17023010,2017-01-24T00:22:23.869Z,"67km N of Culebra, Puerto Rico",earthquake,2.6,14.3,0,4,reviewed,pr,pr
2017-01-23T22:32:27.080Z,37.661,-118.8666667,2.84,0.31,md,8,167,0.02912,0.02,nc,nc72755565,2017-01-24T03:52:02.230Z,"9km E of Mammoth Lakes, California",earthquake,1,2.01,0.083,7,reviewed,nc,nc
